namn,parti,krets
Åsa Romson,Miljöpartiet,Stockholms kommun
Jessica Rosencrantz,Moderaterna,Stockholms kommun
Jessika Roswall,Moderaterna,Uppsala län
Hans Rothenberg,Moderaterna,Göteborgs kommun
Karin Rågsjö,Vänsterpartiet,Stockholms kommun
Carl Schlyter,Miljöpartiet,Stockholms län
Anders Schröder,Miljöpartiet,Gävleborgs län
Daniel Sestrajcic,Vänsterpartiet,Malmö kommun
Ardalan Shekarabi,Socialdemokraterna,Uppsala län
Jonas Sjöstedt,Vänsterpartiet,Västerbottens län
Oscar Sjöstedt,Sverigedemokraterna,Södermanlands län
Johnny Skalin,Sverigedemokraterna,Hallands län
Tuve Skånberg,Kristdemokraterna,Skåne läns norra och östra
Linda Snecker,Vänsterpartiet,Östergötlands län
Eva Sonidsson,Socialdemokraterna,Västernorrlands län
Lars-Arne Staxäng,Moderaterna,Västra Götalands läns västra
Maria Stockhaus,Moderaterna,Stockholms län
Thomas Strand,Socialdemokraterna,Jönköpings län
Torkild Strandberg,Folkpartiet,Skåne läns västra
Maria Strömkvist,Socialdemokraterna,Dalarnas län
Jimmy Ståhl,Sverigedemokraterna,Göteborgs kommun
Lisbeth Sundén Andersson,Moderaterna,Göteborgs kommun
Mathias Sundin,Folkpartiet,Östergötlands län
Elisabeth Svantesson,Moderaterna,Örebro län
Gunilla Svantorp,Socialdemokraterna,Värmlands län
Håkan Svenneling,Vänsterpartiet,Värmlands län
Karin Svensson Smith,Miljöpartiet,Skåne läns södra
Michael Svensson,Moderaterna,Hallands län
Suzanne Svensson,Socialdemokraterna,Blekinge län
Mia Sydow Mölleby,Vänsterpartiet,Örebro län
Björn von Sydow,Socialdemokraterna,Stockholms län
Caroline Szyber,Kristdemokraterna,Stockholms kommun
Sven-Olof Sällström,Sverigedemokraterna,Dalarnas län
Anna-Caren Sätherberg,Socialdemokraterna,Jämtlands län
Björn Söder,Sverigedemokraterna,Stockholms län
Anna-Lena Sörenson,Socialdemokraterna,Östergötlands län
Cecilie Tenfjord-Toftby,Moderaterna,Västra Götalands läns södra
Ewa Thalén Finné,Moderaterna,Skåne läns södra
Olle Thorell,Socialdemokraterna,Västmanlands län
Tomas Tobé,Moderaterna,Gävleborgs län
Lars Tysklind,Folkpartiet,Västra Götalands läns västra
Emilia Töyrä,Socialdemokraterna,Norrbottens län
Erik Ullenhag,Folkpartiet,Stockholms kommun
Hans Unander,Socialdemokraterna,Dalarnas län
Roland Utbult,Kristdemokraterna,Västra Götalands läns västra
Marco Venegas,Miljöpartiet,Södermanlands län
Alexandra Völker,Socialdemokraterna,Stockholms län
Anna Wallén,Socialdemokraterna,Västmanlands län
Anna Wallentheim,Socialdemokraterna,Skåne läns norra och östra
Hans Wallmark,Moderaterna,Skåne läns norra och östra
Emma Wallrup,Vänsterpartiet,Uppsala län
Camilla Waltersson Grönvall,Moderaterna,Västra Götalands läns norra
Jörgen Warborn,Moderaterna,Hallands län
Maria Weimer,Folkpartiet,Uppsala län
Per Westerberg,Moderaterna,Södermanlands län
Barbro Westerholm,Folkpartiet,Stockholms län
Åsa Westlund,Socialdemokraterna,Stockholms län
Cecilia Widegren,Moderaterna,Västra Götalands läns östra
Allan Widman,Folkpartiet,Malmö kommun
Björn Wiechel,Socialdemokraterna,Västerbottens län
Markus Wiechel,Sverigedemokraterna,Västra Götalands läns norra
Hanna Wigh,Sverigedemokraterna,Norrbottens län
Tony Wiklander,Sverigedemokraterna,Västra Götalands läns västra
Kristina Winberg,Sverigedemokraterna,Västra Götalands läns södra
Niklas Wykman,Moderaterna,Stockholms län
Anders Ygeman,Socialdemokraterna,Stockholms kommun
Kristina Yngwe,Centerpartiet,Skåne läns södra
Solveig Zander,Centerpartiet,Uppsala län
Boriana Åberg,Moderaterna,Skåne läns södra
Jennie Åfeldt,Sverigedemokraterna,Malmö kommun
Jonas Åkerlund,Sverigedemokraterna,Västmanlands län
Anders Åkesson,Centerpartiet,Kalmar län
Anette Åkesson,Moderaterna,Skåne läns norra och östra
Jimmie Åkesson,Sverigedemokraterna,Jönköpings län
Per Åsling,Centerpartiet,Jämtlands län
Krister Örnfjäder,Socialdemokraterna,Kalmar län
Christina Östberg,Sverigedemokraterna,Kalmar län
Emanuel Öz,Socialdemokraterna,Stockholms kommun
